-2.422559432201568441e+00,2.100651309498656472e-01,1.682004241998430460e+00,4.711786146198806868e+00,1.329841847721636405e+01,1.142863221153937836e+01
-3.218623434251727033e+00,3.058020298846388374e-01,1.734242733344542042e+00,5.343953905829254225e+00,1.688572637468431026e+01,1.338049646782288349e+01
-4.393793547778454212e+00,-1.235511825467893399e+00,6.397911188145856132e-01,3.812314524428340512e+00,1.129278327340339771e+01,6.032057741353109570e+00
-4.478256681056222099e+00,-2.807700751716601384e-01,1.830368051532937246e+00,4.292705900205214142e+00,1.061190978514843231e+01,8.579961787216182856e+00
-4.841923383282940918e+00,-2.470611877818469082e-01,1.089377523622356847e+00,3.286109319608756962e+00,1.139175131401785634e+01,6.906098153622583169e+00
-7.105301886690500446e-01,1.329893595907537807e-01,1.524310520876469566e+00,4.297409201614773799e+00,9.996055235935804362e+00,1.004386303641832612e+01
-8.292783203322819929e+00,-1.065825632045395155e+00,1.535873612701005975e+00,4.223879826289106632e+00,1.204942535357110245e+01,6.450319130692608205e+00
-3.484845937377724745e+00,-8.176727234382036302e-01,1.089248243247204595e+00,4.128720659381087010e+00,1.108976871226617078e+01,7.745324795444562760e+00
-3.486078283995643901e+00,-1.252895919660422352e+00,4.503646758138952766e-01,2.335475901272860977e+00,6.025501247092620360e+00,2.871220339992495152e+00
-5.000914549064146897e+00,-2.396892116797775807e-01,9.958681218925355960e-01,1.902513049794481104e+00,6.049260168361052514e+00,3.270120641571002906e+00
-2.708467645450514549e+00,8.050096244820653668e-01,2.320805231004284597e+00,5.359250700145433477e+00,1.434089854060975355e+01,1.352089751910965099e+01
-3.889646734084475366e+00,-4.402113643227739126e-01,1.732579337195490510e+00,5.810586845487113905e+00,1.684012537401818577e+01,1.260323161155555383e+01
-3.261889227040925654e+00,-1.003471631459357027e+00,4.632422184607894455e-01,3.100978728709006482e+00,8.729697834450103500e+00,5.042288545628930585e+00
-7.697309869540966076e+00,-1.426898733871934333e+00,9.690198306683360796e-01,2.865846960110812525e+00,8.028635036981894402e+00,2.628556207376389509e+00
-7.552800280547936396e+00,-2.863162806822537876e-01,2.615814379514741272e+00,5.971137521078128785e+00,1.579727807878519030e+01,1.189121328663334864e+01
-6.103764750868106326e+00,-1.181925758209972033e+00,7.995278155938003728e-01,3.576399547331781115e+00,1.065912211229742645e+01,5.218152215697104523e+00
-3.475974631592550601e+00,2.183188276118024629e-01,1.429560638937618533e+00,3.812640054250820310e+00,1.197634309376426209e+01,9.142684957285624137e+00
